Date,Open,High,Low,Close,Volume,OpenInt,Stock
8/29/2017,165.25,168.4299927,165,168.0500031,11121000,0,FB
8/30/2017,168.1699982,170.1799927,167.6300049,169.9199982,11138300,0,FB
8/31/2017,170.3999939,172.1499939,170.0599976,171.9700012,17226500,0,FB
9/1/2017,172.3999939,172.9199982,171.3099976,172.0200043,11677600,0,FB
9/5/2017,171.2700043,172.3899994,169.5500031,170.7200012,13210900,0,FB
9/6/2017,170.9100037,172.4799957,169.5700073,172.0899963,13906300,0,FB
9/7/2017,171.9400024,173.3099976,170.2700043,173.2100067,18049500,0,FB
9/8/2017,173.0899963,173.4900055,170.8000031,170.9499969,10998500,0,FB
9/11/2017,172.3999939,173.8899994,172.1999969,173.5099945,12372000,0,FB
9/12/2017,173.7599945,174,171.75,172.9600067,11186300,0,FB
9/13/2017,173.0099945,173.1699982,172.0599976,173.0500031,9119300,0,FB
9/14/2017,172.2599945,172.2799988,170.5,170.9600067,15615700,0,FB
9/15/2017,170.8800049,172.3399963,170.2599945,171.6399994,15660500,0,FB
9/18/2017,171.9900055,172.0700073,169.3399963,170.0099945,12954000,0,FB
9/19/2017,170.6199951,172.5599976,170.3600006,172.5200043,13168600,0,FB
9/20/2017,172.5,173.0500031,170.6999969,172.1699982,12264100,0,FB
9/21/2017,171.6900024,172.2700043,170.0099945,171.1100006,11161400,0,FB
9/22/2017,170.2100067,171.7299957,169.2200012,170.5399933,12097100,0,FB
9/25/2017,169.2400055,169.3000031,161.5599976,162.8699951,41251600,0,FB
9/26/2017,164.5,165.5,162.7799988,164.2100067,23363300,0,FB
9/27/2017,165.8999939,168.3399963,165.5700073,167.6799927,19242500,0,FB
9/28/2017,167.9400024,169.0700073,167.1600037,168.7299957,12178700,0,FB
9/29/2017,168.8300018,171.6600037,168.8099976,170.8699951,15340400,0,FB
10/2/2017,171.3899994,171.8699951,168.75,169.4700012,13392300,0,FB
10/3/2017,169.3000031,170.7299957,169.1999969,169.9600067,8190300,0,FB
10/4/2017,169.8300018,170.6699982,168.2899933,168.4199982,12127900,0,FB
10/5/2017,169.1799927,171.3099976,168.6000061,171.2400055,14580600,0,FB
10/6/2017,170.25,172.3699951,169.75,172.2299957,13124500,0,FB
10/9/2017,172.6999969,174.8800049,172,172.5,14570400,0,FB
10/10/2017,173,173.1999969,170.8000031,171.5899963,11341100,0,FB
10/11/2017,171.9499969,172.7799988,171.3999939,172.7400055,11283700,0,FB
10/12/2017,172.6100006,173.8500061,172.2899933,172.5500031,10351000,0,FB
10/13/2017,173.4499969,174.6499939,173.1999969,173.7400055,13658300,0,FB
10/16/2017,174.4900055,175,174.0599976,174.5200043,11498800,0,FB
10/17/2017,174.7100067,176.1300049,174.3600006,176.1100006,15990100,0,FB
10/18/2017,176.6499939,176.7400055,175.75,176.0299988,12752400,0,FB
10/19/2017,174.9299927,176.0299988,172.6300049,174.5599976,14048400,0,FB
10/20/2017,175.5,175.8800049,174.6300049,174.9799957,12602200,0,FB
10/23/2017,175.1999969,175.3399963,171.25,171.2700043,13852700,0,FB
10/24/2017,172.3000031,173.2400055,171.5,171.8000031,12267900,0,FB
10/25/2017,171.8999939,172.25,168.8899994,170.6000061,15868200,0,FB
10/26/2017,171.3800049,172.2899933,170.3899994,170.6300049,11833100,0,FB
10/27/2017,174.1499939,178.2100067,173.8999939,177.8800049,30285300,0,FB
10/30/2017,179.2599945,180.6900024,177.6100006,179.8699951,24353200,0,FB
10/31/2017,180.5700073,180.8000031,178.9400024,180.0599976,20174200,0,FB
11/1/2017,182.3600006,182.8999939,180.5700073,182.6600037,40918300,0,FB
